,Name,Command
207,ito-tomoyo-2,/Applications/Visual Studio Code.app/Contents/MacOS/Electron
208,ito-tomoyo-2,/System/Library/Frameworks/AddressBook.framework/Executables/ContactsAccountsService
209,ito-tomoyo-2,/Applications/Slack.app/Contents/MacOS/Slack
210,ito-tomoyo-2,/usr/libexec/networkserviceproxy
211,ito-tomoyo-2,/System/Library/PrivateFrameworks/IMDPersistence.framework/XPCServices/IMDPersistenceAgent.xpc/Contents/MacOS/IMDPersistenceAgent
212,ito-tomoyo-2,/System/Library/CoreServices/ControlStrip.app/Contents/MacOS/ControlStrip
213,ito-tomoyo-2,/usr/libexec/rapportd
214,ito-tomoyo-2,/usr/sbin/usernoted
215,ito-tomoyo-2,/usr/libexec/routined LAUNCHED_BY_LAUNCHD
216,ito-tomoyo-2,/System/Library/CoreServices/sharedfilelistd
217,ito-tomoyo-2,/System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/fontd
218,ito-tomoyo-2,/System/Library/PrivateFrameworks/IMCore.framework/imagent.app/Contents/MacOS/imagent
219,ito-tomoyo-2,/System/Library/Frameworks/Accounts.framework/Versions/A/Support/accountsd
220,ito-tomoyo-2,/System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd
221,ito-tomoyo-2,/System/Library/PrivateFrameworks/TelephonyUtilities.framework/callservicesd
222,ito-tomoyo-2,/usr/sbin/WirelessRadioManagerd
223,ito-tomoyo-2,/usr/libexec/nsurlsessiond
224,ito-tomoyo-2,/System/Library/PrivateFrameworks/TCC.framework/Resources/tccd
225,ito-tomoyo-2,/System/Library/Frameworks/Security.framework/Versions/A/Resources/CloudKeychainProxy.bundle/Contents/MacOS/CloudKeychainProxy
226,ito-tomoyo-2,/usr/libexec/pboard
227,ito-tomoyo-2,/System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd
228,ito-tomoyo-2,/usr/libexec/secd
229,ito-tomoyo-2,/System/Library/CoreServices/backgroundtaskmanagementagent
230,ito-tomoyo-2,/usr/libexec/trustd
231,ito-tomoyo-2,/usr/libexec/lsd
232,ito-tomoyo-2,/System/Library/Frameworks/CoreTelephony.framework/Support/CommCenter
